Designed blade                  
  n         V/wR         Btip            V          rpm          rho       mu*1e5       Vsound            h        P(kW)         T(N)       Q(N-m)          eff
----------------------------------------------------------------------------------------------------------------------------------------------------------------
  1  0.10000       19.764       27.000       8594.4       1.1690       1.7645       338.00      0.50000       21.943       438.64       24.381      0.53973    
  2  0.12000       19.764       27.000       7162.0       1.1690       1.7645       338.00      0.50000       10.532       258.13       14.042      0.66177    
  3  0.14000       19.764       27.000       6138.8       1.1690       1.7645       338.00      0.50000       6.2384       163.20       9.7043      0.70632    
  4  0.16000       19.764       27.000       5371.5       1.1690       1.7645       338.00      0.50000       3.9551       108.00       7.0313      0.73726    
  5  0.18000       19.764       27.000       4774.6       1.1690       1.7645       338.00      0.50000       2.6103       73.336       5.2206      0.75855    
  6  0.20000       19.764       27.000       4297.2       1.1690       1.7645       338.00      0.50000       1.7625       50.329       3.9166      0.77102    
  7  0.22000       19.764       27.000       3906.5       1.1690       1.7645       338.00      0.50000       1.1996       34.396       2.9324      0.77415    
  8  0.24000       19.764       27.000       3581.0       1.1690       1.7645       338.00      0.50000      0.81066       22.986       2.1618      0.76556    
  9  0.26000       19.764       27.000       3305.5       1.1690       1.7645       338.00      0.50000      0.53306       14.589       1.5400      0.73892    
 10  0.28000       19.764       27.000       3069.4       1.1690       1.7645       338.00      0.50000      0.32972       8.2697       1.0258      0.67719    
 11  0.30000       19.764       27.000       2864.8       1.1690       1.7645       338.00      0.50000      0.17759       3.4273      0.59198      0.52105    
 12  0.32000       19.764       27.000       2685.7       1.1690       1.7645       338.00      0.50000      0.61849E-01 -0.33926      0.21991     -0.14810    
 13  0.34000       19.764       27.000       2527.8       1.1690       1.7645       338.00      0.50000     -0.26843E-01  -3.2830     -0.10141       3.3022    
 14  0.36000       19.764       27.000       2387.3       1.1690       1.7645       338.00      0.50000     -0.94548E-01  -5.5678     -0.37819       1.5900    
 15  0.38000       19.764       27.000       2261.7       1.1690       1.7645       338.00      0.50000     -0.14351      -7.2324     -0.60591       1.3608    
 16  0.40000       19.764       27.000       2148.6       1.1690       1.7645       338.00      0.50000     -0.17344      -8.2346     -0.77084       1.2819    
