Designed blade                  
  n         V/wR         Btip            V          rpm          rho       mu*1e5       Vsound            h        P(kW)         T(N)       Q(N-m)          eff
----------------------------------------------------------------------------------------------------------------------------------------------------------------
  1  0.26526E-01   23.507       2.0000       2400.0       1.1690       1.7645       338.00      0.50000       1.0499       94.838       4.1774      0.18066    
  2  0.53052E-01   23.507       4.0000       2400.0       1.1690       1.7645       338.00      0.50000       1.0509       84.687       4.1814      0.32234    
  3  0.79577E-01   23.507       6.0000       2400.0       1.1690       1.7645       338.00      0.50000       1.0476       75.757       4.1682      0.43389    
  4  0.10610       23.507       8.0000       2400.0       1.1690       1.7645       338.00      0.50000       1.0379       67.750       4.1297      0.52220    
  5  0.13263       23.507       10.000       2400.0       1.1690       1.7645       338.00      0.50000       1.0211       60.489       4.0629      0.59238    
  6  0.15915       23.507       12.000       2400.0       1.1690       1.7645       338.00      0.50000      0.99616       53.809       3.9636      0.64820    
  7  0.18568       23.507       14.000       2400.0       1.1690       1.7645       338.00      0.50000      0.96173       47.564       3.8266      0.69240    
  8  0.21221       23.507       16.000       2400.0       1.1690       1.7645       338.00      0.50000      0.91631       41.628       3.6459      0.72689    
  9  0.23873       23.507       18.000       2400.0       1.1690       1.7645       338.00      0.50000      0.85832       35.897       3.4151      0.75281    
 10  0.26526       23.507       20.000       2400.0       1.1690       1.7645       338.00      0.50000      0.78615       30.284       3.1280      0.77045    
 11  0.29178       23.507       22.000       2400.0       1.1690       1.7645       338.00      0.50000      0.69826       24.723       2.7783      0.77894    
 12  0.31831       23.507       24.000       2400.0       1.1690       1.7645       338.00      0.50000      0.59317       19.158       2.3602      0.77513    
 13  0.34484       23.507       26.000       2400.0       1.1690       1.7645       338.00      0.50000      0.46954       13.548       1.8682      0.75020    
 14  0.37136       23.507       28.000       2400.0       1.1690       1.7645       338.00      0.50000      0.32613       7.8626       1.2976      0.67504    
 15  0.39789       23.507       30.000       2400.0       1.1690       1.7645       338.00      0.50000      0.16193       2.0806      0.64429      0.38547    
